Age,Gender,Profession,Marital_status,Education,No_of_Dependents,Personal_loan,House_loan,Partner_working,Salary,Partner_salary,Total_salary,Price,Make
53,Male,Business,Married,Post Graduate,4,No,No,Yes,99300,70700.0,170000,61000,SUV
53,Male,Salaried,Married,Post Graduate,4,Yes,No,Yes,95500,70300.0,165800,61000,SUV
53,Female,Salaried,Married,Post Graduate,3,No,No,Yes,97300,60700.0,158000,57000,SUV
53,Female,Salaried,Married,Graduate,2,Yes,No,Yes,72500,70300.0,142800,61000,SUV
53,Male,Salaried,Married,Post Graduate,3,No,No,Yes,79700,60200.0,139900,57000,SUV
53,Female,Salaried,Married,Post Graduate,3,No,No,Yes,79800,60500.0,140300,57000,SUV
53,Female,Salaried,Married,Post Graduate,3,Yes,No,Yes,80900,50800.0,131700,51000,SUV
52,Male,Salaried,Married,Graduate,4,No,No,Yes,79100,40400.0,119500,68000,SUV
52,Male,Salaried,Married,Post Graduate,4,No,No,No,89400,0.0,89400,61000,SUV
52,Male,Salaried,Married,Post Graduate,3,No,No,No,83700,0.0,83700,57000,SUV
52,Male,Salaried,Married,Post Graduate,4,Yes,No,No,81600,0.0,81600,67000,SUV
50,Male,Salaried,Married,Post Graduate,2,No,No,No,81300,0.0,81300,63000,SUV
50,Female,Salaried,Married,Graduate,3,Yes,No,No,77400,0.0,77400,62000,SUV
50,Female,Salaried,Married,Post Graduate,3,No,No,No,77600,0.0,77600,50000,SUV
50,Female,Business,Married,Graduate,3,No,No,No,74100,0.0,74100,66000,SUV
49,Male,Salaried,Single,Post Graduate,2,No,No,No,87600,0.0,87600,52000,SUV
49,Male,Business,Married,Post Graduate,3,No,No,No,86800,0.0,86800,60000,SUV
49,Female,Salaried,Married,Post Graduate,4,No,No,Yes,95100,70600.0,165700,64000,SUV
49,Female,Business,Married,Post Graduate,3,No,No,Yes,92600,70300.0,162900,58000,SUV
49,Male,Salaried,Married,Post Graduate,3,Yes,No,Yes,98400,60600.0,159000,54000,SUV
49,Male,Salaried,Married,Graduate,3,No,No,Yes,72700,60300.0,133000,53000,SUV
49,Female,Salaried,Married,Post Graduate,4,Yes,No,Yes,84600,45500.0,130100,62000,SUV
47,Female,Business,Married,Post Graduate,3,No,No,Yes,88000,40200.0,128200,55000,SUV
46,Female,Salaried,Married,Post Graduate,3,No,No,Yes,85400,40700.0,126100,59000,SUV
46,Male,Business,Married,Post Graduate,3,Yes,No,Yes,78000,600.0,78600,50000,SUV
46,Male,Salaried,Married,Post Graduate,3,No,No,Yes,87900,700.0,88600,50000,SUV
46,Female,Salaried,Married,Post Graduate,3,No,No,Yes,81900,27800.0,109700,68000,SUV
46,Male,Salaried,Single,Post Graduate,2,No,No,No,88500,0.0,88500,60000,SUV
46,Male,Salaried,Married,Post Graduate,3,No,No,No,87700,0.0,87700,56000,SUV
46,Female,Salaried,Married,Post Graduate,2,No,No,Yes,98300,70700.0,169000,61000,SUV
46,Male,Salaried,Married,Post Graduate,4,No,No,Yes,94900,70700.0,165600,67000,SUV
46,Male,Business,Married,Graduate,2,Yes,No,Yes,91100,70000.0,161100,66000,SUV
